, Actual 10 m,Predicted 10 m,Error at 10 m , Actual25 m,Predicted 25 m,Error at 25 m , Actual 50 m,Predicted 50 m,Error at 50 m , Actual 80 m,Predicted 80 m,Error at 80 m 
11/22/2011 1:00,25.36,25.389015,-0.08901519775390554,25.8,25.684004,-0.384003829956054,25.8,25.781816,-0.4818164825439446,25.3,25.45815,-0.15815086364746023
11/22/2011 2:00,25.03,25.385956,-0.4859558105468764,25.470000000000002,25.680607,-0.780606842041017,25.311111111111114,25.796947,-0.8969474792480483,24.9,25.343397,-0.4433971405029311
11/22/2011 3:00,25.03,25.153645,-0.25364456176757955,25.140000000000004,25.470066,-0.570066070556642,25.311111111111114,25.463558,-0.5635581970214858,24.9,25.021683,-0.12168273925781392
11/22/2011 4:00,24.700000000000003,25.083094,-0.683093643188478,24.700000000000003,25.134592,-0.7345920562744155,24.700000000000006,25.367357,-0.9673572540283217,24.4,24.952785,-0.5527854919433608
11/22/2011 5:00,24.26,24.826227,-0.426227188110353,24.37,24.733963,-0.3339630126953139,24.700000000000006,24.891346,-0.49134597778320455,24.4,24.595644,-0.19564399719238423
11/22/2011 6:00,24.26,24.478315,0.4216846466064439,24.37,24.429583,0.47041740417480327,24.211111111111112,24.743061,0.15693893432617045,24.9,24.48767,0.4123291015624986
11/22/2011 7:00,24.26,24.381092,0.5189079284667955,24.37,24.394033,0.5059665679931626,24.211111111111112,24.391157,0.5088428497314439,24.9,24.818151,0.08184852600097514
11/22/2011 8:00,24.700000000000003,24.36833,0.5316699981689439,24.37,24.467266,0.4327339172363267,24.700000000000006,24.312994,0.5870059967041001,24.9,24.938992,-0.038991546630860796
11/22/2011 9:00,25.03,24.668058,0.2319416046142564,24.700000000000003,24.50823,0.39176979064941264,24.700000000000006,24.643394,0.25660552978515483,24.9,24.985945,-0.08594474792480611
11/22/2011 10:00,25.03,24.983604,0.31639556884765696,24.700000000000003,24.760832,0.5391681671142585,24.700000000000006,24.767834,0.5321662902832038,25.3,24.962837,0.33716278076171946
11/22/2011 11:00,25.03,25.078053,0.22194747924804759,25.140000000000004,24.844059,0.4559410095214851,24.700000000000006,24.79972,0.5002792358398445,25.3,25.21034,0.08965950012207102
11/22/2011 12:00,25.36,25.075035,0.22496490478515696,25.140000000000004,25.119719,0.18028144836425852,25.311111111111114,24.78109,0.518910217285157,25.3,25.282999,0.017000961303711648
11/22/2011 13:00,25.36,25.274918,0.02508239746093821,25.470000000000002,25.15393,0.1460693359375007,25.311111111111114,25.166033,0.1339672088623054,25.3,25.316065,-0.016064834594725852
11/22/2011 14:00,25.36,25.335052,-0.03505249023437429,25.470000000000002,25.349052,-0.04905242919921804,25.311111111111114,25.290405,0.00959472656250071,25.3,25.30483,-0.004830551147460227
11/22/2011 15:00,25.36,25.347687,-0.04768676757812429,25.470000000000002,25.353094,-0.05309410095214773,25.311111111111114,25.324102,-0.024102401733397727,25.3,25.285194,0.01480560302734446
11/22/2011 16:00,25.36,25.329063,-0.02906341552734304,25.470000000000002,25.331764,-0.03176422119140554,25.311111111111114,25.29669,0.003310012817383523,25.3,25.290821,0.009178924560547586
11/22/2011 17:00,25.36,25.321587,-0.02158660888671804,25.470000000000002,25.314947,-0.014947128295897727,25.311111111111114,25.286446,0.01355438232421946,25.3,25.295866,0.004133987426758523
11/22/2011 18:00,25.36,25.344885,-0.04488487243652273,25.470000000000002,25.312483,-0.012482833862303977,25.8,25.29319,0.0068099975585944605,25.3,25.292255,0.0077445983886725855
11/22/2011 19:00,25.36,25.353848,-0.053847503662108664,25.470000000000002,25.325228,-0.025227737426757102,25.8,25.611456,-0.3114559173583977,25.3,25.292887,0.007113265991211648
11/22/2011 20:00,25.36,25.356188,-0.0561878204345696,25.470000000000002,25.337528,-0.037528228759764914,25.8,25.70549,-0.4054901123046868,25.3,25.297533,0.002466964721680398
11/22/2011 21:00,25.36,25.354006,-0.0540058135986321,25.470000000000002,25.370737,-0.07073707580566335,25.8,25.732227,-0.4322273254394524,25.3,25.302658,-0.0026580810546867895
11/22/2011 22:00,25.36,25.352673,0.44732742309570384,25.470000000000002,25.388607,0.41139297485351634,25.8,25.74255,0.057450103759766336,25.8,25.291819,0.5081813812255866
11/22/2011 23:00,25.36,25.3546,-0.0546009063720696,25.470000000000002,25.392632,-0.09263153076171804,25.8,25.753847,-0.4538471221923821,25.3,25.655815,-0.35581512451171804
11/23/2011 0:00,25.36,25.36109,-0.06108970642089773,25.470000000000002,25.39232,-0.0923206329345696,25.8,25.760992,-0.4609920501708977,25.3,25.433407,-0.13340682983398366
11/23/2011 1:00,25.03,25.377153,-0.0771533966064446,25.470000000000002,25.369705,-0.06970520019531179,25.8,25.781445,-0.48144454956054616,25.3,25.346289,-0.04628868103027273
11/23/2011 2:00,25.03,25.148918,-0.24891815185547017,25.470000000000002,25.375813,-0.47581253051757955,25.311111111111114,25.803682,-0.9036823272705092,24.9,25.304693,-0.40469322204589986
11/23/2011 3:00,24.700000000000003,25.05597,-0.15596923828125142,25.140000000000004,25.37859,-0.47858963012695455,24.700000000000006,25.44834,-0.5483394622802749,24.9,25.002523,-0.10252342224121236
11/23/2011 4:00,24.700000000000003,24.78625,0.11375083923339702,24.700000000000003,25.142591,-0.2425914764404311,24.700000000000006,24.889824,0.010176086425779829,24.9,24.958801,-0.05880126953125142
11/23/2011 5:00,24.700000000000003,24.725971,-0.32597122192382955,24.37,24.759674,-0.3596740722656264,24.700000000000006,24.718367,-0.3183666229248061,24.4,24.931032,-0.5310321807861342
