date_time, Actual 10 m,Predicted 10 m,Error at 10 m , Actual25 m,Predicted 25 m,Error at 25 m , Actual 50 m,Predicted 50 m,Error at 50 m , Actual 80 m,Predicted 80 m,Error at 80 m 
8/13/2012 20:00,36.1,36.08267841316203,0.017321586837972802,31.9,31.885684427701275,0.014315572298723822,31.9,31.90602565653607,-0.006025656536071011,40.8,40.78483810067991,0.01516189932008416
8/13/2012 21:00,36.1,36.08269164592098,0.017308354079020205,31.9,31.885756554611344,0.014243445388654408,31.9,31.905908924577847,-0.005908924577848751,40.8,40.78485920755983,0.015140792440163864
8/13/2012 22:00,36.1,36.08271111406616,0.017288885933844256,31.9,31.88575553389141,0.014244466108589648,31.9,31.905797543491005,-0.005797543491006252,40.8,40.784883084713876,0.015116915286121468
8/13/2012 23:00,36.1,36.082725820829914,0.017274179170087223,31.9,31.88577428251276,0.014225717487239109,31.9,31.905691259082847,-0.005691259082848177,40.8,40.784903349988106,0.0150966500118912
8/14/2012 0:00,36.1,36.082741524841644,0.0172584751583571,31.9,31.88578816508494,0.014211834915059285,31.9,31.90558984205175,-0.0055898420517515035,40.8,40.7849232133771,0.015076786622898908
8/14/2012 1:00,36.1,36.082756769030006,0.017243230969995693,31.9,31.885802782734558,0.014197217265440543,31.9,31.905493026423027,-0.005493026423028624,40.8,40.78494775867696,0.015052241323040505
8/14/2012 2:00,36.1,36.08277444013094,0.017225559869061158,31.9,31.8858168247134,0.01418317528659685,31.9,31.9054006754905,-0.005400675490502493,40.8,40.784968385776644,0.015031614223353529
8/14/2012 3:00,36.1,36.08278789806766,0.017212101932344126,31.9,31.885833104524355,0.014166895475643315,31.9,31.905312532432028,-0.005312532432029116,40.8,40.784988807035674,0.015011192964323072
8/14/2012 4:00,35.5,36.082802072943316,-0.5828020729433163,31.3,31.885846124935064,-0.5858461249350633,31.9,31.905228404297684,-0.005228404297685785,40.8,40.78500686002265,0.014993139977349301
8/14/2012 5:00,35.5,35.46996193376629,0.03003806623370764,30.7,31.161963098547428,-0.4619630985474288,31.3,31.905148126793307,-0.6051481267933063,40.2,40.78503113132741,-0.5850311313274048
8/14/2012 6:00,35.5,35.483108407909356,0.01689159209064428,30.7,30.587518210492853,0.1124817895071466,31.3,31.195138478235155,0.10486152176484609,40.2,40.152933958917906,0.04706604108209689
8/14/2012 7:00,35.5,35.48284903031078,0.017150969689218698,30.7,30.706409366939848,-0.006409366939848837,31.3,31.324438536993046,-0.024438536993045545,40.2,40.186455165978835,0.013544834021168128
