date_time,Soil moisture at 10m,Soil moisture at 25m,Soil moisture at 50 m,Soil moisture at 80m
2012-08-10 12:00:00,34.9752198932472,30.790427444697134,30.837301739195482,39.62096546265929
2012-08-10 13:00:00,35.05451855260777,30.88339341589845,31.0119409152156,39.642953643101805
2012-08-10 14:00:00,35.13304661288684,30.972878418249394,31.17007748017058,39.66581355809469
2012-08-10 15:00:00,35.20618389204359,31.0536722065085,31.336344048712164,39.68875834907664
2012-08-10 16:00:00,35.26981627345137,31.121630996561798,31.466836994194047,39.71174382374895
2012-08-10 17:00:00,35.320570953237265,31.17384094328088,31.58305876454396,39.73473707528571
2012-08-10 18:00:00,35.35599707656997,31.208686455249328,31.652248700119134,39.757734774983554
2012-08-10 19:00:00,35.37468264682712,31.225828189321994,31.695894982409342,39.780735474614104
2012-08-10 20:00:00,35.37630287035395,31.226100919254627,31.692132086506383,39.80373897359193
2012-08-10 21:00:00,35.36159951697624,31.21134564686905,31.663505134744657,39.826745205548406
2012-08-10 22:00:00,35.3322951544226,31.184193166705985,31.59727311028159,39.84975415941348
2012-08-10 23:00:00,35.29094999424588,31.147817752040034,31.51635290651308,39.87276583205426
2012-08-11 00:00:00,35.24077234293674,31.105679742205535,31.414260503605703,39.895780222885605
2012-08-11 01:00:00,35.1853961068528,31.06127470185404,31.312521126657433,39.91879733175657
2012-08-11 02:00:00,35.128640331659454,31.01790468221433,31.207665817197675,39.94181715863695
2012-08-11 03:00:00,35.07426630608757,30.978484180826328,31.1178236105511,39.96483970351937
2012-08-11 04:00:00,35.025747328835074,30.945389935719408,31.039692775481303,39.987864966402284
2012-08-11 05:00:00,34.986064889699236,30.92035997685501,30.986511777061487,40.01089294728534
2012-08-11 06:00:00,34.95754286912168,30.904443655742874,30.953279979972848,40.033923646168454
2012-08-11 07:00:00,34.94172857682987,30.898000920993752,30.947837129610786,40.056957063051605
2012-08-11 08:00:00,34.93932622598476,30.90074610160095,30.96286172899161,40.07999319793479
2012-08-11 09:00:00,34.95018498991309,30.91182905125667,31.00138555880358,40.103032050818015
2012-08-11 10:00:00,34.973340335662456,30.929944793199375,31.054292673932117,40.12607362170127
2012-08-11 11:00:00,35.00710408573665,30.953461828926073,31.12126923189138,40.149117910584565
2012-08-11 12:00:00,35.049195818952136,30.98055902683734,31.192697149896567,40.172164917467896
2012-08-11 13:00:00,35.09690594383262,31.009361433629522,31.266797068865277,40.19521464235126
2012-08-11 14:00:00,35.14727918297173,31.03806635901095,31.33497976261556,40.21826708523466
2012-08-11 15:00:00,35.197306367335806,31.065052551686072,31.39577780161177,40.241322246118095
2012-08-11 16:00:00,35.244112379128154,31.088967072282784,31.442891680454807,40.264380125001566
2012-08-11 17:00:00,35.2851287751504,31.10878643063362,31.47640943601062,40.28744072188507
2012-08-11 18:00:00,35.31824099851913,31.123850547204594,31.492957731827357,40.31050403676861
2012-08-11 19:00:00,35.341902034556334,31.133869990094382,31.494656821031924,40.33357006965219
2012-08-11 20:00:00,35.35520674489395,31.13890861776056,31.480946847351838,40.3566388205358
2012-08-11 21:00:00,35.357923759265795,31.13934513594701,31.45569459883607,40.37971028941945
2012-08-11 22:00:00,35.350484543647596,31.13581809553381,31.420398204199923,40.40278447630313
2012-08-11 23:00:00,35.33393192359355,31.12915948555947,31.379831973739915,40.42586138118685
2012-08-12 00:00:00,35.30983276140135,31.12032230999009,31.336428675393513,40.448941004070605
2012-08-12 01:00:00,35.28016152460813,31.110307401031502,31.2948066675429,40.472023344954394
2012-08-12 02:00:00,35.2471630295667,31.100094260611517,31.2571854281544,40.495108403838216
2012-08-12 03:00:00,35.2132036203816,31.090579996441875,31.22708140593938,40.51819618072208
2012-08-12 04:00:00,35.180620411294754,31.08252950220498,31.205634600957392,40.541286675605974
2012-08-12 05:00:00,35.15157797976559,31.076539000619313,31.19469040624916,40.5643798884899
2012-08-12 06:00:00,35.12794108566188,31.0730140009313,31.1939138794827,40.58747581937387
2012-08-12 07:00:00,35.11117068070324,31.072161691088382,31.203403781466676,40.61057446825787
2012-08-12 08:00:00,35.1022487612982,31.0739968524534,31.221460399895754,40.63367583514191
2012-08-12 09:00:00,35.101635627871254,31.07835960191478,31.24681581638784,40.65677992002598
2012-08-12 10:00:00,35.109260978093054,31.084942668586283,31.276913292684597,40.67988672291009
2012-08-12 11:00:00,35.12454811751403,31.09332552048904,31.309793082771865,40.70299624379423
2012-08-12 12:00:00,35.146468551731395,31.10301247591999,31.342744935238272,40.72610848267841
2012-08-12 13:00:00,35.17362244949757,31.11347195576904,31.3738654595354,40.74922343956263
2012-08-12 14:00:00,35.204339036598064,31.124174235811562,31.40096312683736,40.772341114446874
2012-08-12 15:00:00,35.23678997129365,31.1346254112971,31.42279990758846,40.79546150733116
2012-08-12 16:00:00,35.269108210234016,31.14439575258061,31.438157784729945,40.81858461821548
2012-08-12 17:00:00,35.2995048149974,31.15314116904239,31.446788279099774,40.841710447099835
2012-08-12 18:00:00,35.326376559334534,31.16061706740371,31.448584684898627,40.86483899398423
2012-08-12 19:00:00,35.34839803291842,31.16668445014925,31.444279983750512,40.887970258868656
2012-08-12 20:00:00,35.36459313134608,31.17130861494376,31.434702177903254,40.911104241753115
2012-08-12 21:00:00,35.37438228712223,31.174551257788345,31.421275834300737,40.934240942637615
2012-08-12 22:00:00,35.37760343171329,31.176557129844184,31.4053624910054,40.95738036152215
2012-08-12 23:00:00,35.37450637707265,31.17753663717874,31.388627745478676,40.980522498406714
2012-08-13 00:00:00,35.365721959013975,31.17774589921467,31.37248103516586,41.00366735329132
